,season,times,pontos,gols_marcados,gols_levados,vitorias,derrotas,empates,time_ganhou,time_derrota,time_empate,placar_vitoria,placar_derrota,placar_empate
0,2012,Flamengo RJ,50,39,46,12,12,14,"['Coritiba, Santos, Atletico GO, Bahia, Figueirense, Nautico, Vasco, Atletico GO, Atletico-MG, Sao Paulo, Figueirense, Nautico']","['Gremio, Fluminense, Corinthians, Cruzeiro, Sao Paulo, Palmeiras, Internacional, Ponte Preta, Coritiba, Santos, Fluminense, Corinthians']","['Sport Recife, Internacional, Ponte Preta, Portuguesa, Botafogo RJ, Sport Recife, Gremio, Bahia, Cruzeiro, Portuguesa, Atletico-MG, Palmeiras, Vasco, Botafogo RJ']","['Flamengo RJ-3X1-Coritiba', 'Flamengo RJ-1X0-Santos', 'Flamengo RJ-3X2-Atletico GO', 'Bahia-1X2-Flamengo RJ', 'Figueirense-0X2-Flamengo RJ', 'Flamengo RJ-2X0-Nautico', 'Flamengo RJ-1X0-Vasco', 'Atletico GO-1X2-Flamengo RJ', 'Flamengo RJ-2X1-Atletico-MG', 'Flamengo RJ-1X0-Sao Paulo', 'Flamengo RJ-1X0-Figueirense', 'Nautico-0X1-Flamengo RJ']","['Gremio-2X0-Flamengo RJ', 'Fluminense-1X0-Flamengo RJ', 'Flamengo RJ-0X3-Corinthians', 'Cruzeiro-1X0-Flamengo RJ', 'Sao Paulo-4X1-Flamengo RJ', 'Palmeiras-1X0-Flamengo RJ', 'Internacional-4X1-Flamengo RJ', 'Flamengo RJ-0X1-Ponte Preta', 'Coritiba-3X0-Flamengo RJ', 'Santos-2X0-Flamengo RJ', 'Flamengo RJ-0X1-Fluminense', 'Corinthians-3X2-Flamengo RJ']","['Sport Recife-1X1-Flamengo RJ', 'Flamengo RJ-3X3-Internacional', 'Ponte Preta-2X2-Flamengo RJ', 'Flamengo RJ-0X0-Portuguesa', 'Botafogo RJ-0X0-Flamengo RJ', 'Flamengo RJ-1X1-Sport Recife', 'Flamengo RJ-1X1-Gremio', 'Flamengo RJ-0X0-Bahia', 'Flamengo RJ-1X1-Cruzeiro', 'Portuguesa-0X0-Flamengo RJ', 'Atletico-MG-1X1-Flamengo RJ', 'Flamengo RJ-1X1-Palmeiras', 'Vasco-1X1-Flamengo RJ', 'Flamengo RJ-2X2-Botafogo RJ']"
1,2012,Vasco,58,45,44,16,12,10,"['Gremio, Portuguesa, Nautico, Bahia, Ponte Preta, Atletico GO, Sao Paulo, Santos, Botafogo RJ, Sport Recife, Portuguesa, Palmeiras, Figueirense, Atletico GO, Coritiba, Fluminense']","['Cruzeiro, Atletico-MG, Flamengo RJ, Fluminense, Gremio, Bahia, Sao Paulo, Santos, Botafogo RJ, Internacional, Corinthians, Sport Recife']","['Palmeiras, Figueirense, Internacional, Corinthians, Coritiba, Nautico, Cruzeiro, Ponte Preta, Atletico-MG, Flamengo RJ']","['Vasco-2X1-Gremio', 'Portuguesa-0X1-Vasco', 'Vasco-4X2-Nautico', 'Bahia-1X2-Vasco', 'Vasco-3X2-Ponte Preta', 'Vasco-1X0-Atletico GO', 'Sao Paulo-0X1-Vasco', 'Vasco-2X0-Santos', 'Vasco-1X0-Botafogo RJ', 'Sport Recife-0X2-Vasco', 'Vasco-2X0-Portuguesa', 'Vasco-3X1-Palmeiras', 'Vasco-3X1-Figueirense', 'Atletico GO-0X1-Vasco', 'Coritiba-1X2-Vasco', 'Fluminense-1X2-Vasco']","['Vasco-1X3-Cruzeiro', 'Atletico-MG-1X0-Vasco', 'Flamengo RJ-1X0-Vasco', 'Vasco-1X2-Fluminense', 'Gremio-2X0-Vasco', 'Vasco-0X4-Bahia', 'Vasco-0X2-Sao Paulo', 'Santos-2X0-Vasco', 'Botafogo RJ-3X2-Vasco', 'Vasco-1X2-Internacional', 'Corinthians-1X0-Vasco', 'Vasco-0X3-Sport Recife']","['Palmeiras-1X1-Vasco', 'Figueirense-1X1-Vasco', 'Internacional-0X0-Vasco', 'Vasco-0X0-Corinthians', 'Vasco-2X2-Coritiba', 'Nautico-1X1-Vasco', 'Cruzeiro-1X1-Vasco', 'Ponte Preta-0X0-Vasco', 'Vasco-1X1-Atletico-MG', 'Vasco-1X1-Flamengo RJ']"
2,2012,Fluminense,77,61,33,22,5,11,"['Corinthians, Portuguesa, Atletico GO, Nautico, Flamengo RJ, Bahia, Ponte Preta, Coritiba, Sao Paulo, Palmeiras, Sport Recife, Vasco, Santos, Internacional, Portuguesa, Nautico, Flamengo RJ, Botafogo RJ, Bahia, Ponte Preta, Coritiba, Palmeiras']","['Gremio, Atletico GO, Atletico-MG, Cruzeiro, Vasco']","['Figueirense, Santos, Internacional, Botafogo RJ, Atletico-MG, Cruzeiro, Corinthians, Figueirense, Gremio, Sao Paulo, Sport Recife']","['Corinthians-0X1-Fluminense', 'Fluminense-4X1-Portuguesa', 'Atletico GO-1X4-Fluminense', 'Nautico-0X2-Fluminense', 'Fluminense-1X0-Flamengo RJ', 'Fluminense-4X0-Bahia', 'Ponte Preta-1X2-Fluminense', 'Coritiba-0X2-Fluminense', 'Fluminense-2X1-Sao Paulo', 'Fluminense-1X0-Palmeiras', 'Fluminense-1X0-Sport Recife', 'Vasco-1X2-Fluminense', 'Fluminense-3X1-Santos', 'Internacional-0X1-Fluminense', 'Portuguesa-0X2-Fluminense', 'Fluminense-2X1-Nautico', 'Flamengo RJ-0X1-Fluminense', 'Fluminense-1X0-Botafogo RJ', 'Bahia-0X2-Fluminense', 'Fluminense-2X1-Ponte Preta', 'Fluminense-2X1-Coritiba', 'Palmeiras-2X3-Fluminense']","['Gremio-1X0-Fluminense', 'Fluminense-1X2-Atletico GO', 'Atletico-MG-3X2-Fluminense', 'Fluminense-0X2-Cruzeiro', 'Fluminense-1X2-Vasco']","['Fluminense-2X2-Figueirense', 'Santos-1X1-Fluminense', 'Fluminense-0X0-Internacional', 'Botafogo RJ-1X1-Fluminense', 'Fluminense-0X0-Atletico-MG', 'Cruzeiro-1X1-Fluminense', 'Fluminense-1X1-Corinthians', 'Figueirense-2X2-Fluminense', 'Fluminense-2X2-Gremio', 'Sao Paulo-1X1-Fluminense', 'Sport Recife-1X1-Fluminense']"
3,2012,Atletico-MG,72,64,37,20,6,12,"['Ponte Preta, Corinthians, Palmeiras, Nautico, Gremio, Portuguesa, Figueirense, Internacional, Sport Recife, Santos, Coritiba, Vasco, Botafogo RJ, Palmeiras, Sao Paulo, Figueirense, Sport Recife, Fluminense, Botafogo RJ, Cruzeiro']","['Sao Paulo, Corinthians, Nautico, Flamengo RJ, Internacional, Coritiba']","['Bahia, Fluminense, Atletico GO, Cruzeiro, Ponte Preta, Bahia, Gremio, Portuguesa, Santos, Flamengo RJ, Vasco, Atletico GO']","['Ponte Preta-0X1-Atletico-MG', 'Atletico-MG-1X0-Corinthians', 'Palmeiras-0X1-Atletico-MG', 'Atletico-MG-5X1-Nautico', 'Gremio-0X1-Atletico-MG', 'Atletico-MG-2X0-Portuguesa', 'Figueirense-3X4-Atletico-MG', 'Atletico-MG-3X1-Internacional', 'Sport Recife-1X4-Atletico-MG', 'Atletico-MG-2X0-Santos', 'Atletico-MG-1X0-Coritiba', 'Atletico-MG-1X0-Vasco', 'Atletico-MG-3X2-Botafogo RJ', 'Atletico-MG-3X0-Palmeiras', 'Atletico-MG-1X0-Sao Paulo', 'Atletico-MG-6X0-Figueirense', 'Atletico-MG-2X1-Sport Recife', 'Atletico-MG-3X2-Fluminense', 'Botafogo RJ-2X3-Atletico-MG', 'Atletico-MG-3X2-Cruzeiro']","['Sao Paulo-1X0-Atletico-MG', 'Corinthians-1X0-Atletico-MG', 'Nautico-1X0-Atletico-MG', 'Flamengo RJ-2X1-Atletico-MG', 'Internacional-3X0-Atletico-MG', 'Coritiba-1X0-Atletico-MG']","['Atletico-MG-1X1-Bahia', 'Fluminense-0X0-Atletico-MG', 'Atletico GO-1X1-Atletico-MG', 'Cruzeiro-2X2-Atletico-MG', 'Atletico-MG-2X2-Ponte Preta', 'Bahia-0X0-Atletico-MG', 'Atletico-MG-0X0-Gremio', 'Portuguesa-1X1-Atletico-MG', 'Santos-2X2-Atletico-MG', 'Atletico-MG-1X1-Flamengo RJ', 'Vasco-1X1-Atletico-MG', 'Atletico-MG-2X2-Atletico GO']"
4,2012,Botafogo RJ,55,60,50,15,13,10,"['Sao Paulo, Coritiba, Internacional, Bahia, Corinthians, Figueirense, Atletico GO, Sport Recife, Coritiba, Cruzeiro, Nautico, Vasco, Figueirense, Atletico GO, Portuguesa']","['Cruzeiro, Nautico, Ponte Preta, Gremio, Vasco, Palmeiras, Atletico-MG, Sao Paulo, Bahia, Fluminense, Santos, Sport Recife, Atletico-MG']","['Fluminense, Santos, Portuguesa, Flamengo RJ, Internacional, Ponte Preta, Corinthians, Gremio, Palmeiras, Flamengo RJ']","['Botafogo RJ-4X2-Sao Paulo', 'Coritiba-2X3-Botafogo RJ', 'Internacional-1X2-Botafogo RJ', 'Botafogo RJ-3X0-Bahia', 'Corinthians-1X3-Botafogo RJ', 'Botafogo RJ-1X0-Figueirense', 'Atletico GO-1X2-Botafogo RJ', 'Botafogo RJ-2X0-Sport Recife', 'Botafogo RJ-2X0-Coritiba', 'Cruzeiro-1X3-Botafogo RJ', 'Botafogo RJ-3X1-Nautico', 'Botafogo RJ-3X2-Vasco', 'Figueirense-0X2-Botafogo RJ', 'Botafogo RJ-4X0-Atletico GO', 'Botafogo RJ-3X0-Portuguesa']","['Botafogo RJ-2X3-Cruzeiro', 'Nautico-3X2-Botafogo RJ', 'Botafogo RJ-1X2-Ponte Preta', 'Botafogo RJ-0X1-Gremio', 'Vasco-1X0-Botafogo RJ', 'Botafogo RJ-1X2-Palmeiras', 'Atletico-MG-3X2-Botafogo RJ', 'Sao Paulo-4X0-Botafogo RJ', 'Bahia-2X0-Botafogo RJ', 'Fluminense-1X0-Botafogo RJ', 'Botafogo RJ-0X2-Santos', 'Sport Recife-2X0-Botafogo RJ', 'Botafogo RJ-2X3-Atletico-MG']","['Botafogo RJ-1X1-Fluminense', 'Santos-0X0-Botafogo RJ', 'Portuguesa-1X1-Botafogo RJ', 'Botafogo RJ-0X0-Flamengo RJ', 'Botafogo RJ-1X1-Internacional', 'Ponte Preta-0X0-Botafogo RJ', 'Botafogo RJ-2X2-Corinthians', 'Gremio-1X1-Botafogo RJ', 'Palmeiras-2X2-Botafogo RJ', 'Flamengo RJ-2X2-Botafogo RJ']"
5,2012,Santos,53,50,44,13,11,14,"['Gremio, Ponte Preta, Cruzeiro, Figueirense, Corinthians, Palmeiras, Flamengo RJ, Coritiba, Botafogo RJ, Vasco, Cruzeiro, Figueirense, Palmeiras']","['Sao Paulo, Flamengo RJ, Vasco, Atletico-MG, Nautico, Bahia, Sport Recife, Fluminense, Portuguesa, Ponte Preta, Atletico GO']","['Bahia, Sport Recife, Fluminense, Coritiba, Portuguesa, Internacional, Botafogo RJ, Atletico GO, Sao Paulo, Gremio, Internacional, Atletico-MG, Nautico, Corinthians']","['Santos-4X2-Gremio', 'Santos-2X1-Ponte Preta', 'Santos-4X2-Cruzeiro', 'Figueirense-1X3-Santos', 'Santos-3X2-Corinthians', 'Palmeiras-1X2-Santos', 'Santos-2X0-Flamengo RJ', 'Coritiba-1X2-Santos', 'Botafogo RJ-0X2-Santos', 'Santos-2X0-Vasco', 'Cruzeiro-0X4-Santos', 'Santos-2X0-Figueirense', 'Santos-3X1-Palmeiras']","['Sao Paulo-1X0-Santos', 'Flamengo RJ-1X0-Santos', 'Vasco-2X0-Santos', 'Atletico-MG-2X0-Santos', 'Nautico-3X0-Santos', 'Santos-1X3-Bahia', 'Sport Recife-2X1-Santos', 'Fluminense-3X1-Santos', 'Santos-1X3-Portuguesa', 'Ponte Preta-1X0-Santos', 'Atletico GO-2X1-Santos']","['Bahia-0X0-Santos', 'Santos-0X0-Sport Recife', 'Santos-1X1-Fluminense', 'Santos-2X2-Coritiba', 'Portuguesa-0X0-Santos', 'Internacional-0X0-Santos', 'Santos-0X0-Botafogo RJ', 'Santos-2X2-Atletico GO', 'Santos-0X0-Sao Paulo', 'Gremio-1X1-Santos', 'Santos-1X1-Internacional', 'Santos-2X2-Atletico-MG', 'Santos-0X0-Nautico', 'Corinthians-1X1-Santos']"
6,2012,Corinthians,57,51,39,15,11,12,"['Palmeiras, Nautico, Flamengo RJ, Cruzeiro, Coritiba, Internacional, Atletico-MG, Gremio, Palmeiras, Sport Recife, Flamengo RJ, Vasco, Atletico GO, Coritiba, Internacional']","['Fluminense, Atletico-MG, Gremio, Ponte Preta, Botafogo RJ, Santos, Sao Paulo, Figueirense, Nautico, Cruzeiro, Sao Paulo']","['Figueirense, Sport Recife, Portuguesa, Bahia, Vasco, Atletico GO, Fluminense, Ponte Preta, Botafogo RJ, Portuguesa, Bahia, Santos']","['Corinthians-2X1-Palmeiras', 'Corinthians-2X1-Nautico', 'Flamengo RJ-0X3-Corinthians', 'Corinthians-2X0-Cruzeiro', 'Coritiba-1X2-Corinthians', 'Corinthians-1X0-Internacional', 'Corinthians-1X0-Atletico-MG', 'Corinthians-3X1-Gremio', 'Palmeiras-0X2-Corinthians', 'Corinthians-3X0-Sport Recife', 'Corinthians-3X2-Flamengo RJ', 'Corinthians-1X0-Vasco', 'Atletico GO-0X2-Corinthians', 'Corinthians-5X1-Coritiba', 'Internacional-0X2-Corinthians']","['Corinthians-0X1-Fluminense', 'Atletico-MG-1X0-Corinthians', 'Gremio-2X0-Corinthians', 'Ponte Preta-1X0-Corinthians', 'Corinthians-1X3-Botafogo RJ', 'Santos-3X2-Corinthians', 'Corinthians-1X2-Sao Paulo', 'Figueirense-1X0-Corinthians', 'Nautico-2X1-Corinthians', 'Cruzeiro-2X0-Corinthians', 'Sao Paulo-3X1-Corinthians']","['Corinthians-1X1-Figueirense', 'Sport Recife-1X1-Corinthians', 'Corinthians-1X1-Portuguesa', 'Bahia-0X0-Corinthians', 'Vasco-0X0-Corinthians', 'Corinthians-1X1-Atletico GO', 'Fluminense-1X1-Corinthians', 'Corinthians-1X1-Ponte Preta', 'Botafogo RJ-2X2-Corinthians', 'Portuguesa-1X1-Corinthians', 'Corinthians-1X1-Bahia', 'Corinthians-1X1-Santos']"
7,2012,Atletico GO,30,37,67,7,22,9,"['Figueirense, Sao Paulo, Palmeiras, Fluminense, Internacional, Santos, Palmeiras']","['Gremio, Portuguesa, Coritiba, Fluminense, Flamengo RJ, Nautico, Vasco, Internacional, Botafogo RJ, Cruzeiro, Ponte Preta, Gremio, Coritiba, Flamengo RJ, Nautico, Vasco, Figueirense, Sao Paulo, Sport Recife, Botafogo RJ, Corinthians, Bahia']","['Cruzeiro, Ponte Preta, Sport Recife, Corinthians, Santos, Atletico-MG, Bahia, Portuguesa, Atletico-MG']","['Atletico GO-3X2-Figueirense', 'Atletico GO-4X3-Sao Paulo', 'Atletico GO-2X1-Palmeiras', 'Fluminense-1X2-Atletico GO', 'Atletico GO-3X1-Internacional', 'Atletico GO-2X1-Santos', 'Palmeiras-1X2-Atletico GO']","['Atletico GO-0X1-Gremio', 'Portuguesa-2X0-Atletico GO', 'Coritiba-3X0-Atletico GO', 'Atletico GO-1X4-Fluminense', 'Flamengo RJ-3X2-Atletico GO', 'Atletico GO-0X1-Nautico', 'Vasco-1X0-Atletico GO', 'Internacional-4X1-Atletico GO', 'Atletico GO-1X2-Botafogo RJ', 'Atletico GO-0X2-Cruzeiro', 'Ponte Preta-3X1-Atletico GO', 'Gremio-2X1-Atletico GO', 'Atletico GO-1X2-Coritiba', 'Atletico GO-1X2-Flamengo RJ', 'Nautico-2X0-Atletico GO', 'Atletico GO-0X1-Vasco', 'Figueirense-3X1-Atletico GO', 'Sao Paulo-2X0-Atletico GO', 'Atletico GO-0X1-Sport Recife', 'Botafogo RJ-4X0-Atletico GO', 'Atletico GO-0X2-Corinthians', 'Atletico GO-0X1-Bahia']","['Cruzeiro-0X0-Atletico GO', 'Atletico GO-1X1-Ponte Preta', 'Sport Recife-0X0-Atletico GO', 'Corinthians-1X1-Atletico GO', 'Santos-2X2-Atletico GO', 'Atletico GO-1X1-Atletico-MG', 'Bahia-1X1-Atletico GO', 'Atletico GO-1X1-Portuguesa', 'Atletico-MG-2X2-Atletico GO']"
8,2012,Figueirense,30,39,72,7,22,9,"['Nautico, Sport Recife, Coritiba, Corinthians, Cruzeiro, Atletico GO, Internacional']","['Cruzeiro, Palmeiras, Atletico-MG, Atletico GO, Sao Paulo, Internacional, Botafogo RJ, Portuguesa, Flamengo RJ, Santos, Gremio, Nautico, Bahia, Palmeiras, Vasco, Atletico-MG, Sao Paulo, Botafogo RJ, Flamengo RJ, Santos, Gremio, Coritiba']","['Fluminense, Corinthians, Ponte Preta, Bahia, Vasco, Fluminense, Ponte Preta, Portuguesa, Sport Recife']","['Figueirense-2X1-Nautico', 'Sport Recife-0X1-Figueirense', 'Figueirense-3X1-Coritiba', 'Figueirense-1X0-Corinthians', 'Figueirense-2X0-Cruzeiro', 'Figueirense-3X1-Atletico GO', 'Internacional-2X3-Figueirense']","['Cruzeiro-1X0-Figueirense', 'Palmeiras-3X1-Figueirense', 'Figueirense-3X4-Atletico-MG', 'Atletico GO-3X2-Figueirense', 'Figueirense-0X2-Sao Paulo', 'Figueirense-0X1-Internacional', 'Botafogo RJ-1X0-Figueirense', 'Portuguesa-2X0-Figueirense', 'Figueirense-0X2-Flamengo RJ', 'Figueirense-1X3-Santos', 'Gremio-4X0-Figueirense', 'Nautico-3X2-Figueirense', 'Bahia-2X1-Figueirense', 'Figueirense-1X3-Palmeiras', 'Vasco-3X1-Figueirense', 'Atletico-MG-6X0-Figueirense', 'Sao Paulo-2X0-Figueirense', 'Figueirense-0X2-Botafogo RJ', 'Flamengo RJ-1X0-Figueirense', 'Santos-2X0-Figueirense', 'Figueirense-2X4-Gremio', 'Coritiba-3X0-Figueirense']","['Fluminense-2X2-Figueirense', 'Corinthians-1X1-Figueirense', 'Figueirense-0X0-Ponte Preta', 'Figueirense-1X1-Bahia', 'Figueirense-1X1-Vasco', 'Figueirense-2X2-Fluminense', 'Ponte Preta-2X2-Figueirense', 'Figueirense-0X0-Portuguesa', 'Figueirense-1X1-Sport Recife']"
9,2012,Ponte Preta,48,37,44,12,14,12,"['Corinthians, Botafogo RJ, Palmeiras, Coritiba, Cruzeiro, Portuguesa, Atletico GO, Flamengo RJ, Nautico, Santos, Cruzeiro, Internacional']","['Atletico-MG, Vasco, Nautico, Fluminense, Santos, Internacional, Bahia, Sao Paulo, Palmeiras, Coritiba, Fluminense, Sport Recife, Gremio, Bahia']","['Atletico GO, Flamengo RJ, Figueirense, Sport Recife, Gremio, Atletico-MG, Figueirense, Corinthians, Botafogo RJ, Vasco, Sao Paulo, Portuguesa']","['Ponte Preta-1X0-Corinthians', 'Botafogo RJ-1X2-Ponte Preta', 'Ponte Preta-1X0-Palmeiras', 'Ponte Preta-4X1-Coritiba', 'Cruzeiro-1X2-Ponte Preta', 'Ponte Preta-2X1-Portuguesa', 'Ponte Preta-3X1-Atletico GO', 'Flamengo RJ-0X1-Ponte Preta', 'Ponte Preta-2X1-Nautico', 'Ponte Preta-1X0-Santos', 'Ponte Preta-1X0-Cruzeiro', 'Ponte Preta-1X0-Internacional']","['Ponte Preta-0X1-Atletico-MG', 'Vasco-3X2-Ponte Preta', 'Nautico-3X0-Ponte Preta', 'Ponte Preta-1X2-Fluminense', 'Santos-2X1-Ponte Preta', 'Internacional-2X1-Ponte Preta', 'Ponte Preta-0X2-Bahia', 'Sao Paulo-3X0-Ponte Preta', 'Palmeiras-3X0-Ponte Preta', 'Coritiba-1X0-Ponte Preta', 'Fluminense-2X1-Ponte Preta', 'Sport Recife-3X1-Ponte Preta', 'Gremio-1X0-Ponte Preta', 'Bahia-1X0-Ponte Preta']","['Atletico GO-1X1-Ponte Preta', 'Ponte Preta-2X2-Flamengo RJ', 'Figueirense-0X0-Ponte Preta', 'Ponte Preta-1X1-Sport Recife', 'Ponte Preta-0X0-Gremio', 'Atletico-MG-2X2-Ponte Preta', 'Ponte Preta-2X2-Figueirense', 'Corinthians-1X1-Ponte Preta', 'Ponte Preta-0X0-Botafogo RJ', 'Ponte Preta-0X0-Vasco', 'Ponte Preta-0X0-Sao Paulo', 'Portuguesa-0X0-Ponte Preta']"
10,2012,Internacional,52,44,40,13,12,13,"['Coritiba, Sao Paulo, Sport Recife, Cruzeiro, Atletico GO, Figueirense, Palmeiras, Ponte Preta, Flamengo RJ, Bahia, Atletico-MG, Vasco, Palmeiras']","['Botafogo RJ, Atletico-MG, Corinthians, Gremio, Coritiba, Fluminense, Atletico GO, Figueirense, Nautico, Ponte Preta, Corinthians, Portuguesa']","['Flamengo RJ, Fluminense, Bahia, Santos, Vasco, Nautico, Portuguesa, Sao Paulo, Botafogo RJ, Sport Recife, Cruzeiro, Santos, Gremio']","['Internacional-2X0-Coritiba', 'Internacional-1X0-Sao Paulo', 'Sport Recife-0X2-Internacional', 'Internacional-2X1-Cruzeiro', 'Internacional-4X1-Atletico GO', 'Figueirense-0X1-Internacional', 'Palmeiras-0X1-Internacional', 'Internacional-2X1-Ponte Preta', 'Internacional-4X1-Flamengo RJ', 'Internacional-3X1-Bahia', 'Internacional-3X0-Atletico-MG', 'Vasco-1X2-Internacional', 'Internacional-2X1-Palmeiras']","['Internacional-1X2-Botafogo RJ', 'Atletico-MG-3X1-Internacional', 'Corinthians-1X0-Internacional', 'Internacional-0X1-Gremio', 'Coritiba-1X0-Internacional', 'Internacional-0X1-Fluminense', 'Atletico GO-3X1-Internacional', 'Internacional-2X3-Figueirense', 'Nautico-3X0-Internacional', 'Ponte Preta-1X0-Internacional', 'Internacional-0X2-Corinthians', 'Internacional-0X2-Portuguesa']","['Flamengo RJ-3X3-Internacional', 'Fluminense-0X0-Internacional', 'Bahia-1X1-Internacional', 'Internacional-0X0-Santos', 'Internacional-0X0-Vasco', 'Internacional-0X0-Nautico', 'Portuguesa-1X1-Internacional', 'Sao Paulo-1X1-Internacional', 'Botafogo RJ-1X1-Internacional', 'Internacional-2X2-Sport Recife', 'Cruzeiro-0X0-Internacional', 'Santos-1X1-Internacional', 'Gremio-0X0-Internacional']"
11,2012,Bahia,47,37,41,11,13,14,"['Sport Recife, Palmeiras, Ponte Preta, Santos, Sao Paulo, Vasco, Figueirense, Botafogo RJ, Portuguesa, Ponte Preta, Atletico GO']","['Sao Paulo, Vasco, Botafogo RJ, Flamengo RJ, Fluminense, Gremio, Cruzeiro, Nautico, Internacional, Fluminense, Coritiba, Palmeiras, Cruzeiro']","['Santos, Atletico-MG, Figueirense, Internacional, Coritiba, Corinthians, Portuguesa, Atletico GO, Atletico-MG, Sport Recife, Flamengo RJ, Corinthians, Gremio, Nautico']","['Bahia-2X1-Sport Recife', 'Palmeiras-0X2-Bahia', 'Ponte Preta-0X2-Bahia', 'Santos-1X3-Bahia', 'Bahia-1X0-Sao Paulo', 'Vasco-0X4-Bahia', 'Bahia-2X1-Figueirense', 'Bahia-2X0-Botafogo RJ', 'Portuguesa-0X1-Bahia', 'Bahia-1X0-Ponte Preta', 'Atletico GO-0X1-Bahia']","['Sao Paulo-1X0-Bahia', 'Bahia-1X2-Vasco', 'Botafogo RJ-3X0-Bahia', 'Bahia-1X2-Flamengo RJ', 'Fluminense-4X0-Bahia', 'Gremio-3X1-Bahia', 'Bahia-0X1-Cruzeiro', 'Nautico-1X0-Bahia', 'Internacional-3X1-Bahia', 'Bahia-0X2-Fluminense', 'Coritiba-2X1-Bahia', 'Bahia-0X1-Palmeiras', 'Cruzeiro-3X1-Bahia']","['Bahia-0X0-Santos', 'Atletico-MG-1X1-Bahia', 'Figueirense-1X1-Bahia', 'Bahia-1X1-Internacional', 'Bahia-2X2-Coritiba', 'Bahia-0X0-Corinthians', 'Bahia-0X0-Portuguesa', 'Bahia-1X1-Atletico GO', 'Bahia-0X0-Atletico-MG', 'Sport Recife-1X1-Bahia', 'Flamengo RJ-0X0-Bahia', 'Corinthians-1X1-Bahia', 'Bahia-1X1-Gremio', 'Bahia-1X1-Nautico']"
12,2012,Portuguesa,45,39,41,10,13,15,"['Atletico GO, Sao Paulo, Nautico, Figueirense, Gremio, Palmeiras, Coritiba, Santos, Sport Recife, Internacional']","['Vasco, Coritiba, Fluminense, Atletico-MG, Sport Recife, Cruzeiro, Ponte Preta, Vasco, Fluminense, Sao Paulo, Cruzeiro, Bahia, Botafogo RJ']","['Palmeiras, Santos, Corinthians, Flamengo RJ, Bahia, Botafogo RJ, Internacional, Atletico GO, Atletico-MG, Corinthians, Flamengo RJ, Nautico, Figueirense, Gremio, Ponte Preta']","['Portuguesa-2X0-Atletico GO', 'Portuguesa-1X0-Sao Paulo', 'Portuguesa-3X1-Nautico', 'Portuguesa-2X0-Figueirense', 'Gremio-1X2-Portuguesa', 'Portuguesa-3X0-Palmeiras', 'Portuguesa-3X0-Coritiba', 'Santos-1X3-Portuguesa', 'Portuguesa-5X1-Sport Recife', 'Internacional-0X2-Portuguesa']","['Portuguesa-0X1-Vasco', 'Coritiba-2X0-Portuguesa', 'Fluminense-4X1-Portuguesa', 'Atletico-MG-2X0-Portuguesa', 'Sport Recife-2X1-Portuguesa', 'Portuguesa-0X2-Cruzeiro', 'Ponte Preta-2X1-Portuguesa', 'Vasco-2X0-Portuguesa', 'Portuguesa-0X2-Fluminense', 'Sao Paulo-3X1-Portuguesa', 'Cruzeiro-2X0-Portuguesa', 'Portuguesa-0X1-Bahia', 'Botafogo RJ-3X0-Portuguesa']","['Palmeiras-1X1-Portuguesa', 'Portuguesa-0X0-Santos', 'Corinthians-1X1-Portuguesa', 'Flamengo RJ-0X0-Portuguesa', 'Bahia-0X0-Portuguesa', 'Portuguesa-1X1-Botafogo RJ', 'Portuguesa-1X1-Internacional', 'Atletico GO-1X1-Portuguesa', 'Portuguesa-1X1-Atletico-MG', 'Portuguesa-1X1-Corinthians', 'Portuguesa-0X0-Flamengo RJ', 'Nautico-0X0-Portuguesa', 'Figueirense-0X0-Portuguesa', 'Portuguesa-2X2-Gremio', 'Portuguesa-0X0-Ponte Preta']"
